Order_No,Time from Pickup to Arrival
Order_No_19248,1684.2948814239303
Order_No_2699,2671.736840004112
Order_No_21486,1617.0830163273902
Order_No_19336,2197.6881380321574
Order_No_20374,2373.5704859053603
Order_No_9830,1376.117218957445
Order_No_17505,1489.298972254886
Order_No_23802,2374.690372970549
Order_No_12736,1180.9961110388672
Order_No_6400,2029.8783636329313
Order_No_25920,572.3154794512657
Order_No_24873,1723.6182683519335
Order_No_4511,1305.5682331927087
Order_No_13686,2287.1762733976775
Order_No_19317,1549.0115981169556
Order_No_2680,1555.502284487271
Order_No_7097,992.672992503461
Order_No_22701,1267.7241775059679
Order_No_4881,1715.421883337968
Order_No_6340,1141.1615172354498
Order_No_27915,1031.1738544889286
Order_No_768,981.1824332746096
Order_No_28256,1615.3056251193238
Order_No_16940,1699.4651309272401
Order_No_4860,1035.6291661610276
Order_No_19055,1059.7283749264705
Order_No_21272,1270.1515760660527
Order_No_2131,1293.5603553782812
Order_No_26647,584.1138463296071
Order_No_15717,1893.9448378209975
Order_No_7499,1152.626513021281
Order_No_19277,1309.1070866604841
Order_No_21254,3485.0265579773204
Order_No_15403,1462.0011212442344
Order_No_3402,2147.18907306229
Order_No_20766,775.076851622843
Order_No_14859,1174.624726842556
Order_No_7290,1308.338939187685
Order_No_15168,1367.1364571914978
Order_No_13427,1278.2799397523772
Order_No_20894,1642.719519174386
Order_No_10827,1475.732341063031
Order_No_9447,1424.960180756779
Order_No_15217,2201.3518132588642
Order_No_2361,1389.5240227983445
Order_No_12210,786.6692606588242
Order_No_15207,2432.9552613738283
Order_No_27745,2072.0494224076474
Order_No_18450,1010.6026429518198
Order_No_21282,1331.2702015801592
Order_No_2842,1031.3520250635706
Order_No_22280,1503.3649706073502
Order_No_15535,1704.6112434565464
Order_No_382,1059.7148088127171
Order_No_21070,1276.505551215148
Order_No_2603,2639.7015367960557
Order_No_16558,1153.8879490496847
Order_No_24712,1334.5212619050121
Order_No_26578,2097.336210854811
Order_No_21638,872.3580224803435
Order_No_22046,955.4697173138345
Order_No_23183,1641.140707789538
Order_No_1786,2569.4943467481785
Order_No_17033,1174.0493415276283
Order_No_6084,986.0194153231291
Order_No_5317,1533.3710314621476
Order_No_15332,1242.4050293980104
Order_No_1199,1251.955417261417
Order_No_21864,2373.267350931276
Order_No_611,2290.049053120053
Order_No_18430,1880.0130059863598
Order_No_8474,2053.6722028167774
Order_No_6339,1192.6277827482575
Order_No_14947,878.513668012796
Order_No_16077,1875.2796480789953
Order_No_21778,716.9530934952975
Order_No_19143,1380.7704619998683
Order_No_25000,2564.1964385816445
Order_No_340,1153.9840656079864
Order_No_8955,1608.731604289929
Order_No_6197,2130.0799016520427
Order_No_1974,3140.490186498114
Order_No_22457,1845.7435480641932
Order_No_24241,2107.6951009203085
Order_No_23433,2680.885463315928
Order_No_21373,1067.1598279561088
Order_No_15311,1194.7848672581404
Order_No_12748,1486.3162580059745
Order_No_11668,1731.418663683859
Order_No_9978,1786.6064638831242
Order_No_17127,414.0813300966295
Order_No_14906,2845.0977752094454
Order_No_19354,948.4791873643197
Order_No_15209,569.6971436597414
Order_No_12025,981.2697030523318
Order_No_26437,1244.8705465900596
Order_No_4137,1125.3541313544788
Order_No_12169,1359.9844856136313
Order_No_104,976.8484190101931
Order_No_2403,789.5220938662604
Order_No_8736,900.7008324936618
Order_No_15145,1020.4957581440108
Order_No_25380,1577.4746372948846
Order_No_7545,2548.2266845442773
Order_No_14573,2260.9761833666953
Order_No_24305,1343.2925273349526
Order_No_23769,1250.8575603019099
Order_No_23205,2117.755744427923
Order_No_20815,980.1156902645405
Order_No_8308,1212.243197293917
Order_No_20121,1563.1398570506915
Order_No_20598,2027.4500311976267
Order_No_2574,1750.3068419590174
Order_No_1601,1365.9395339345047
Order_No_19084,1064.862204542515
Order_No_23351,985.9660881700227
Order_No_17426,1864.1334513429729
Order_No_3798,1346.3495822155817
Order_No_20354,2635.963293710893
Order_No_24096,1631.7049357771075
Order_No_21215,1871.2003457510305
Order_No_16573,1231.038282536227
Order_No_6731,2459.232616564497
Order_No_3166,2543.903533455737
Order_No_18679,2027.6873571820825
Order_No_23900,2815.888346089788
Order_No_18436,1455.6554829485879
Order_No_1450,1121.0636438526299
Order_No_9797,2087.1144420966175
Order_No_21124,1483.132878379087
Order_No_27808,1334.0239019388646
Order_No_15877,1050.9055032010774
Order_No_14360,1135.6217181500008
Order_No_6247,1297.7741140470098
Order_No_1823,1843.4764868266493
Order_No_8264,1564.1476231465042
Order_No_4106,1653.483809471907
