Order_No,Time from Pickup to Arrival
Order_No_19248,1528.5913016683244
Order_No_2699,2724.837723215889
Order_No_21486,1778.1255616154838
Order_No_19336,2193.2148989186085
Order_No_20374,2206.971805598406
Order_No_9830,1376.0673286184156
Order_No_17505,1321.0836339858201
Order_No_23802,2426.666187110124
Order_No_12736,1179.828535093311
Order_No_6400,2200.5962855442613
Order_No_25920,784.4732908839339
Order_No_24873,1722.3787121854014
Order_No_4511,1144.2257590928878
Order_No_13686,2279.732616249825
Order_No_19317,1548.6131664454801
Order_No_2680,1549.1518707253406
Order_No_7097,1206.888812847899
Order_No_22701,1215.6382122271393
Order_No_4881,1539.7471788315395
Order_No_6340,1303.2341457934222
Order_No_27915,1035.9840949791956
Order_No_768,1149.4142510603501
Order_No_28256,1609.9142082679132
Order_No_16940,1871.1624978501734
Order_No_4860,1039.9182377836348
Order_No_19055,1221.7994416653653
Order_No_21272,1278.5102896892708
Order_No_2131,1462.682438807079
Order_No_26647,747.0257529819537
Order_No_15717,1888.4518922731697
Order_No_7499,1366.6157371499166
Order_No_19277,1313.9295948827953
Order_No_21254,3436.9601375610723
Order_No_15403,1471.7337692612468
Order_No_3402,2308.1473217886487
Order_No_20766,779.3935900112323
Order_No_14859,1402.8324660326837
Order_No_7290,1307.1239519492149
Order_No_15168,1538.1919784870422
Order_No_13427,1278.1527474226104
Order_No_20894,1640.7211650605193
Order_No_10827,1637.7988431896144
Order_No_9447,1432.484375750835
Order_No_15217,2377.042730811438
Order_No_2361,1391.7085212559768
Order_No_12210,960.012519723053
Order_No_15207,2442.1614538268395
Order_No_27745,2234.181397760822
Order_No_18450,1181.377373390966
Order_No_21282,1331.1202788168207
Order_No_2842,1031.019959108796
Order_No_22280,1661.0565837334175
Order_No_15535,1877.0358936679681
Order_No_382,1058.3263558013482
Order_No_21070,1442.9736509523084
Order_No_2603,2645.5592482186366
Order_No_16558,1158.523047012512
Order_No_24712,1334.3220890632228
Order_No_26578,2098.2166215293387
Order_No_21638,880.78035654772
Order_No_22046,1012.0326340884538
Order_No_23183,1595.0311047272414
Order_No_1786,2574.269680460017
Order_No_17033,1174.6708855827465
Order_No_6084,983.7752827468246
Order_No_5317,1480.7427283419602
Order_No_15332,1240.1401158513208
Order_No_1199,1414.1240785517082
Order_No_21864,2372.949620343641
Order_No_611,2452.253447200814
Order_No_18430,2095.0075087254
Order_No_8474,2047.5176962166686
Order_No_6339,1030.0526198258008
Order_No_14947,826.2514801058466
Order_No_16077,1877.7221448461933
Order_No_21778,722.996356430984
Order_No_19143,1379.6733875148261
Order_No_25000,2569.995549235522
Order_No_340,1321.1809480793147
Order_No_8955,1772.2039347863533
Order_No_6197,2130.769656511729
Order_No_1974,3142.8555983812093
Order_No_22457,2000.6043842213198
Order_No_24241,2262.411595761834
Order_No_23433,2840.8814872107123
Order_No_21373,1063.0386730713344
Order_No_15311,1042.3377984922056
Order_No_12748,1317.8458909177036
