Order_No,Time from Pickup to Arrival
Order_No_19248,1590.1181800411
Order_No_2699,2711.738062701786
Order_No_21486,1733.113915215541
Order_No_19336,2210.4590360169727
Order_No_20374,2227.5474075291145
Order_No_9830,1378.097569903991
Order_No_17505,1340.9825754519115
Order_No_23802,2413.099721964173
Order_No_12736,1181.3789553145862
Order_No_6400,2181.3827952966626
Order_No_25920,723.6200920910561
Order_No_24873,1724.686820903767
Order_No_4511,1165.1567425736214
Order_No_13686,2284.2013798804055
Order_No_19317,1549.4491828347118
Order_No_2680,1549.4839650213999
Order_No_7097,1172.985368290394
Order_No_22701,1236.3075463294572
Order_No_4881,1576.652064649778
Order_No_6340,1284.1868796271979
Order_No_27915,1037.8588934504298
Order_No_768,1129.5211618367161
Order_No_28256,1611.5842944383214
Order_No_16940,1782.5662221520283
Order_No_4860,1039.3232291565287
Order_No_19055,1202.2456231727756
Order_No_21272,1279.4150120767702
Order_No_2131,1494.5640766149131
Order_No_26647,729.4249060158211
Order_No_15717,1888.9481859664434
Order_No_7499,1332.519805025647
Order_No_19277,1251.315027326501
Order_No_21254,3457.2276366206634
Order_No_15403,1471.580003864655
Order_No_3402,2289.824878557438
Order_No_20766,781.4951149705348
Order_No_14859,1325.9937200393836
Order_No_7290,1307.6199206173642
Order_No_15168,1626.569911933982
Order_No_13427,1280.2466928384342
Order_No_20894,1642.1948386412141
Order_No_10827,1618.6465545274698
Order_No_9447,1484.1815136759647
Order_No_15217,2287.172840373194
Order_No_2361,1396.9610495897386
Order_No_12210,1047.8136206041434
Order_No_15207,2368.9786646811717
Order_No_27745,2212.7466490255138
Order_No_18450,1163.1799869176791
Order_No_21282,1331.662382148173
Order_No_2842,1032.9998658513457
Order_No_22280,1643.613428629989
Order_No_15535,1786.3107005355032
Order_No_382,1059.3141098424303
Order_No_21070,1476.3636408359453
Order_No_2603,2648.3857499923765
Order_No_16558,1158.5778716202408
Order_No_24712,1334.15168456219
Order_No_26578,2096.729881589883
Order_No_21638,881.6520109561462
Order_No_22046,997.8687088679123
Order_No_23183,1616.1400967705395
Order_No_1786,2572.9140771500456
Order_No_17033,1173.13733201383
Order_No_6084,984.614368390438
Order_No_5317,1500.1353302138214
Order_No_15332,1240.7862250047276
Order_No_1199,1396.4741685557137
Order_No_21864,2373.1272531145532
Order_No_611,2436.014005004672
Order_No_18430,2063.8863362302336
Order_No_8474,2046.9947920638483
Order_No_6339,1051.0052314356924
Order_No_14947,847.1263640216671
Order_No_16077,1877.2131129882932
Order_No_21778,723.1731600201798
Order_No_19143,1379.6440211909737
Order_No_25000,2574.9244477581674
Order_No_340,1302.5539952693234
Order_No_8955,1755.835389769824
Order_No_6197,2134.401523953252
Order_No_1974,3146.420958417935
Order_No_22457,1981.2250486883886
Order_No_24241,2214.3306005827285
Order_No_23433,2825.903241838393
Order_No_21373,1061.4830269324345
Order_No_15311,1059.6965605763075
Order_No_12748,1337.1062635249878
Order_No_11668,1726.2791727552462
Order_No_9978,1645.8205249758662
Order_No_17127,415.39297236917105
Order_No_14906,2858.7874565507486
Order_No_19354,910.0891677163607
Order_No_15209,577.8816093988069
Order_No_12025,983.3408655849527
Order_No_26437,1208.9862382945207
Order_No_4137,1094.606474016105
Order_No_12169,1224.9113352818063
Order_No_104,1240.4737529863542
Order_No_2403,926.2850762347587
Order_No_8736,1078.4336150511942
Order_No_15145,1020.2993966788679
Order_No_25380,1411.679819507945
Order_No_7545,2372.3860923315824
Order_No_14573,2222.556093112055
Order_No_24305,1341.7498268017453
Order_No_23769,1398.1070731257646
Order_No_23205,2121.96848914841
Order_No_20815,982.0308960678175
Order_No_8308,1215.6441632332435
Order_No_20121,1571.6031138171938
Order_No_20598,1884.3717636983306
Order_No_2574,1757.064716258215
Order_No_1601,1235.4706055271113
Order_No_19084,1156.442277184451
Order_No_23351,992.1736141016545
Order_No_17426,1868.5720394889186
Order_No_3798,1351.252175929446
Order_No_20354,2500.392704852796
Order_No_24096,1485.9043682941037
Order_No_21215,1728.058587032639
Order_No_16573,1232.5298289990583
Order_No_6731,2646.4541202438895
Order_No_3166,2548.1867469090794
Order_No_18679,1891.0839522548085
Order_No_23900,2677.35579836173
Order_No_18436,1423.1486347123086
Order_No_1450,1123.7242916167704
Order_No_9797,2133.860746052979
Order_No_21124,1633.900095619243
Order_No_27808,1333.9766766984656
Order_No_15877,1051.9468008481988
Order_No_14360,1099.3164714394286
Order_No_6247,1239.316897829517
Order_No_1823,1846.449865355964
Order_No_8264,1755.8693426943864
Order_No_4106,1507.743370386805
Order_No_2288,1391.5220213185685
Order_No_26162,998.0421752226489
Order_No_16072,1834.0125331921295
Order_No_24205,645.7295489276236
Order_No_3870,1060.7881680694177
Order_No_7297,1789.1263679253925
Order_No_26757,1337.3544836271958
Order_No_27741,646.7159289444096
Order_No_15767,1276.8976226986783
Order_No_11781,1737.200326653996
Order_No_8813,1092.8536432504595
Order_No_19702,1658.4329522620105
Order_No_6457,1348.4001134501332
Order_No_6180,1462.2641989563795
Order_No_9305,1577.2571362538024
Order_No_16992,1328.6133752839796
Order_No_5873,1519.853720414561
Order_No_14553,1041.2171297630434
Order_No_4007,2692.2704662482925
Order_No_13713,1457.6910086310604
Order_No_20690,880.2742472274181
Order_No_27131,1407.0990689720056
Order_No_17404,1592.7446688367654
