,order_no,user_id,vehicle_type,platform_type,personal_or_business,placement_day_of_month,placement_weekday,placement_time,confirmation_day_of_month,confirmation_weekday,confirmation_time,arrival_at_pickup_day_of_month,arrival_at_pickup_weekday,arrival_at_pickup_time,pickup_day_of_month,pickup_weekday,pickup_time,distance_km,temperature,pickup_lat,pickup_long,destination_lat,destination_long,rider_id
0,Order_No_19248,User_Id_3355,Bike,3,Business,27,3,4:44:10 PM,27,3,4:44:29 PM,27,3,4:53:04 PM,27,3,5:06:47 PM,8,23.246119694548046,-1.3332749,36.870814700000004,-1.3052491000000002,36.8223899,Rider_Id_192
1,Order_No_12736,User_Id_3647,Bike,3,Business,17,5,12:57:35 PM,17,5,12:59:17 PM,17,5,1:20:27 PM,17,5,1:25:37 PM,5,23.246119694548046,-1.2726389999999999,36.794723,-1.2770066,36.823906799999996,Rider_Id_868
2,Order_No_768,User_Id_2154,Bike,3,Business,27,4,11:08:14 AM,27,4,11:25:05 AM,27,4,11:33:20 AM,27,4,11:57:54 AM,5,22.8,-1.290894,36.822971,-1.2765736,36.851364600000004,Rider_Id_26
3,Order_No_15332,User_Id_2910,Bike,3,Business,17,1,1:51:35 PM,17,1,1:53:27 PM,17,1,2:02:41 PM,17,1,2:16:52 PM,5,24.5,-1.2905033000000001,36.8096462,-1.303382,36.790658,Rider_Id_685
4,Order_No_21373,User_Id_1205,Bike,3,Business,11,2,11:30:28 AM,11,2,11:34:45 AM,11,2,11:47:19 AM,11,2,11:56:04 AM,6,24.4,-1.2810807,36.8144229,-1.2664669,36.7921612,Rider_Id_858
5,Order_No_14573,User_Id_2338,Bike,1,Personal,13,1,6:29:29 PM,13,1,6:29:33 PM,13,1,6:36:46 PM,13,1,6:39:02 PM,16,19.3,-1.2566065,36.7959742,-1.2239833,36.898452299999995,Rider_Id_452
6,Order_No_6731,User_Id_488,Bike,2,Personal,17,3,9:53:29 AM,17,3,9:53:50 AM,17,3,9:56:31 AM,17,3,10:08:00 AM,18,20.9,-1.2252722,36.8756717,-1.3047132,36.808955299999994,Rider_Id_704
7,Order_No_18436,User_Id_3764,Bike,3,Business,28,4,8:51:13 AM,28,4,8:52:46 AM,28,4,8:57:45 AM,28,4,8:58:53 AM,8,22.7,-1.2735393999999998,36.833775200000005,-1.2972988,36.7894461,Rider_Id_62
8,Order_No_2288,User_Id_2866,Bike,3,Business,28,4,8:58:21 AM,28,4,8:58:40 AM,28,4,9:27:17 AM,28,4,9:30:35 AM,8,19.4,-1.2551895,36.7822034,-1.2857701000000001,36.7591723,Rider_Id_177
9,Order_No_9063,User_Id_1329,Bike,3,Business,4,5,4:28:28 PM,4,5,4:29:22 PM,4,5,4:42:33 PM,4,5,4:44:01 PM,15,21.7,-1.273056,36.811298,-1.3305521,36.7142889,Rider_Id_674
10,Order_No_4814,User_Id_1500,Bike,3,Business,6,6,9:22:04 AM,6,6,9:23:03 AM,6,6,9:28:17 AM,6,6,10:01:44 AM,8,19.6,-1.3004062,36.829741,-1.2638185,36.7930057,Rider_Id_576
11,Order_No_16747,User_Id_1927,Bike,3,Business,15,4,3:53:01 PM,15,4,3:54:41 PM,15,4,4:00:13 PM,15,4,4:03:53 PM,20,27.4,-1.3472066,36.7692638,-1.2413316,36.878552500000005,Rider_Id_779
12,Order_No_6376,User_Id_3217,Bike,1,Business,21,2,2:04:28 PM,21,2,2:04:36 PM,21,2,2:12:18 PM,21,2,2:30:47 PM,10,20.7,-1.2527958000000001,36.8003131,-1.2143386999999999,36.7914548,Rider_Id_400
13,Order_No_1199,User_Id_3674,Bike,3,Business,18,2,10:34:56 AM,18,2,10:49:04 AM,18,2,10:51:30 AM,18,2,10:56:03 AM,7,23.246119694548046,-1.2551895,36.7822034,-1.2885417,36.810052299999995,Rider_Id_685
14,Order_No_17119,User_Id_718,Bike,3,Business,4,4,3:54:08 PM,4,4,3:57:45 PM,4,4,3:58:28 PM,4,4,4:00:47 PM,9,27.2,-1.2551895,36.7822034,-1.2861471000000002,36.7903723,Rider_Id_250
15,Order_No_14832,User_Id_3721,Bike,1,Personal,14,1,2:47:50 PM,14,1,2:57:32 PM,14,1,2:58:00 PM,14,1,3:06:39 PM,6,25.7,-1.3043821000000002,36.7840586,-1.285264,36.82241320000001,Rider_Id_544
16,Order_No_12321,User_Id_3557,Bike,3,Business,8,5,8:47:43 AM,8,5,8:48:06 AM,8,5,8:56:33 AM,8,5,9:07:12 AM,3,20.4,-1.2551895,36.7822034,-1.2546732,36.808679600000005,Rider_Id_931
17,Order_No_24820,User_Id_2939,Bike,2,Personal,29,2,8:35:55 AM,29,2,8:38:41 AM,29,2,9:23:07 AM,29,2,9:25:37 AM,9,16.8,-1.2660357,36.7898223,-1.307774,36.840754100000005,Rider_Id_726
18,Order_No_6065,User_Id_635,Bike,3,Business,14,1,10:10:26 AM,14,1,10:11:28 AM,14,1,10:25:10 AM,14,1,10:27:35 AM,7,20.3,-1.2602337,36.79905479999999,-1.3017379,36.770681200000006,Rider_Id_65
19,Order_No_13176,User_Id_1724,Bike,3,Business,20,1,10:44:10 AM,20,1,10:44:32 AM,20,1,10:48:56 AM,20,1,10:50:00 AM,2,23.246119694548046,-1.2575437,36.7902273,-1.2551895,36.7822034,Rider_Id_161
20,Order_No_23557,User_Id_851,Bike,1,Personal,9,1,1:55:29 PM,9,1,1:56:48 PM,9,1,2:01:19 PM,9,1,2:02:24 PM,3,21.0,-1.2848173999999999,36.826163,-1.2995738000000001,36.8199719,Rider_Id_21
21,Order_No_20488,User_Id_393,Bike,3,Business,29,1,9:36:32 AM,29,1,9:36:54 AM,29,1,9:41:12 AM,29,1,10:01:25 AM,14,23.246119694548046,-1.3167113000000001,36.8301563,-1.2991441000000001,36.7528804,Rider_Id_211
22,Order_No_24214,User_Id_3701,Bike,3,Business,25,1,1:51:52 PM,25,1,1:52:38 PM,25,1,1:59:14 PM,25,1,2:06:33 PM,7,27.8,-1.2612573999999999,36.7879622,-1.300722,36.816865,Rider_Id_228
23,Order_No_21206,User_Id_2995,Bike,3,Business,22,3,8:53:08 AM,22,3,8:53:08 AM,22,3,8:53:25 AM,22,3,10:32:42 AM,16,23.0,-1.207546,36.7913976,-1.2551895,36.7822034,Rider_Id_193
24,Order_No_1930,User_Id_393,Bike,3,Business,14,4,9:53:04 AM,14,4,9:53:16 AM,14,4,9:53:21 AM,14,4,10:13:35 AM,4,17.9,-1.3167113000000001,36.8301563,-1.3004062,36.829741,Rider_Id_842
25,Order_No_28180,User_Id_2608,Bike,1,Personal,11,2,2:34:07 PM,11,2,2:46:21 PM,11,2,3:09:56 PM,11,2,3:15:53 PM,14,25.5,-1.3463428999999998,36.9069888,-1.2890333,36.8234839,Rider_Id_89
26,Order_No_13329,User_Id_1075,Bike,3,Business,13,1,9:59:28 AM,13,1,9:59:43 AM,13,1,10:08:26 AM,13,1,10:12:42 AM,2,23.246119694548046,-1.2620912,36.8013562,-1.2527958000000001,36.8003131,Rider_Id_770
27,Order_No_19004,User_Id_1363,Bike,3,Business,19,2,1:46:56 PM,19,2,1:57:08 PM,19,2,2:04:28 PM,19,2,2:12:21 PM,4,18.3,-1.3004062,36.829741,-1.29759,36.815769,Rider_Id_427
28,Order_No_27510,User_Id_510,Bike,3,Business,21,5,1:17:26 PM,21,5,1:25:20 PM,21,5,2:14:45 PM,21,5,2:34:27 PM,12,24.6,-1.281866,36.826168,-1.2860183,36.8975338,Rider_Id_150
